icd_code,long_title,frequency
Z370,Single live birth,4
7246,Disorders of sacrum,4
S22071A,"Stable burst fracture of T9-T10 vertebra, initial encounter for closed fracture",4
S22068A,"Other fracture of T7-T8 thoracic vertebra, initial encounter for closed fracture",4
F3113,"Bipolar disorder, current episode manic without psychotic features, severe",4
Z3202,"Encounter for pregnancy test, result negative",4
S2691XA,"Contusion of heart, unspecified with or without hemopericardium, initial encounter",4
73605,Wrist drop (acquired),4
S06359A,"Traumatic hemorrhage of left cerebrum with loss of consciousness of unspecified duration, initial encounter",4
S2222XA,"Fracture of body of sternum, initial encounter for closed fracture",4
7238,Other syndromes affecting cervical region,4
E9460,Local anti-infectives and anti-inflammatory drugs causing adverse effects in therapeutic use,4
E9454,Antitussives causing adverse effects in therapeutic use,4
E9452,Skeletal muscle relaxants causing adverse effects in therapeutic use,4
M26623,Arthralgia of bilateral temporomandibular joint,4
9962,"Mechanical complication of nervous system device, implant, and graft",4
99668,Infection and inflammatory reaction due to peritoneal dialysis catheter,4
72271,"Intervertebral disc disorder with myelopathy, cervical region",4
F3181,Bipolar II disorder,4
F3130,"Bipolar disorder, current episode depressed, mild or moderate severity, unspecified",4
4478,Other specified disorders of arteries and arterioles,4
S82222A,"Displaced transverse fracture of shaft of left tibia, initial encounter for closed fracture",4
99665,"Infection and inflammatory reaction due to other genitourinary device, implant, and graft",4
99661,"Infection and inflammatory reaction due to cardiac device, implant, and graft",4
44281,Aneurysm of artery of neck,4
Z20818,Contact with and (suspected) exposure to other bacterial communicable diseases,4
E9385,Surface and infiltration anesthetics causing adverse effects in therapeutic use,4
E9358,Other specified analgesics and antipyretics causing adverse effects in therapeutic use,4
S90411A,"Abrasion, right great toe, initial encounter",4
M00862,"Arthritis due to other bacteria, left knee",4
S90862A,"Insect bite (nonvenomous), left foot, initial encounter",4
S90424A,"Blister (nonthermal), right lesser toe(s), initial encounter",4
S90422A,"Blister (nonthermal), left great toe, initial encounter",4
Z170,Estrogen receptor positive status [ER+],4
Z1630,Resistance to unspecified antimicrobial drugs,4
S0591XA,"Unspecified injury of right eye and orbit, initial encounter",4
S0531XA,"Ocular laceration without prolapse or loss of intraocular tissue, right eye, initial encounter",4
49320,"Chronic obstructive asthma, unspecified",4
M4647,"Discitis, unspecified, lumbosacral region",4
M4628,"Osteomyelitis of vertebra, sacral and sacrococcygeal region",4
M4622,"Osteomyelitis of vertebra, cervical region",4
9711,Poisoning by parasympatholytics (anticholinergics and antimuscarinics) and spasmolytics,4
M488X4,"Other specified spondylopathies, thoracic region",4
4409,Generalized and unspecified atherosclerosis,4
Z0279,Encounter for issue of other medical certificate,4
F5089,Other specified eating disorder,4
F508,Other eating disorders,4
F5001,"Anorexia nervosa, restricting type",4
F458,Other somatoform disorders,4
F42,Obsessive-compulsive disorder,4
Z207,"Contact with and (suspected) exposure to pediculosis, acariasis and other infestations",4
7200,Ankylosing spondylitis,4
M47892,"Other spondylosis, cervical region",4
S81832A,"Puncture wound without foreign body, left lower leg, initial encounter",4
S81802A,"Unspecified open wound, left lower leg, initial encounter",4
S81801A,"Unspecified open wound, right lower leg, initial encounter",4
4941,Bronchiectasis with acute exacerbation,4
S81031A,"Puncture wound without foreign body, right knee, initial encounter",4
9971,"Cardiac complications, not elsewhere classified",4
L97828,Non-pressure chronic ulcer of other part of left lower leg with other specified severity,4
L97818,Non-pressure chronic ulcer of other part of right lower leg with other specified severity,4
E9228,Accident caused by other specified firearm missile,4
S32058A,"Other fracture of fifth lumbar vertebra, initial encounter for closed fracture",4
78002,Transient alteration of awareness,4
Y9323,"Activity, snow (alpine) (downhill) skiing, snowboarding, sledding, tobogganing and snow tubing",4
S91211A,"Laceration without foreign body of right great toe with damage to nail, initial encounter",4
M50022,Cervical disc disorder at C5-C6 level with myelopathy,4
L97318,Non-pressure chronic ulcer of right ankle with other specified severity,4
S02631A,"Fracture of coronoid process of right mandible, initial encounter for closed fracture",4
71905,"Effusion of joint, pelvic region and thigh",4
71904,"Effusion of joint, hand",4
F70,Mild intellectual disabilities,4
Y9269,Other specified industrial and construction area as the place of occurrence of the external cause,4
Y9259,Other trade areas as the place of occurrence of the external cause,4
M5021,"Other cervical disc displacement, high cervical region",4
1562,Malignant neoplasm of ampulla of vater,4
G0490,"Encephalitis and encephalomyelitis, unspecified",4
F99,"Mental disorder, not otherwise specified",4
Y92163,Bedroom in school dormitory as the place of occurrence of the external cause,4
L918,Other hypertrophic disorders of the skin,4
S92062A,"Displaced intraarticular fracture of left calcaneus, initial encounter for closed fracture",4
5220,Pulpitis,4
Y902,Blood alcohol level of 40-59 mg/100 ml,4
7811,Disturbances of sensation of smell and taste,4
Y92019,Unspecified place in single-family (private) house as the place of occurrence of the external cause,4
9528,Multiple sites of spinal cord injury without evidence of spinal bone injury,4
S73191A,"Other sprain of right hip, initial encounter",4
L853,Xerosis cutis,4
A0839,Other viral enteritis,4
42821,Acute systolic heart failure,4
S92335A,"Nondisplaced fracture of third metatarsal bone, left foot, initial encounter for closed fracture",4
S73015A,"Posterior dislocation of left hip, initial encounter",4
M6088,"Other myositis, other site",4
G40109,"Localization-related (focal) (partial) symptomatic epilepsy and epileptic syndromes with simple partial seizures, not intractable, without status epilepticus",4
S0219XB,"Other fracture of base of skull, initial encounter for open fracture",4
78449,Other voice and resonance disorders,4
G2582,Stiff-man syndrome,4
E9197,"Accidents caused by earth moving, scraping, and other excavating machines",4
E9192,Accidents caused by lifting machines and appliances,4
1543,"Malignant neoplasm of anus, unspecified site",4
1540,Malignant neoplasm of rectosigmoid junction,4
Y768,"Miscellaneous obstetric and gynecological devices associated with adverse incidents, not elsewhere classified",4
E9056,Venomous marine animals and plants causing poisoning and toxic reactions,4
S02113A,"Unspecified occipital condyle fracture, initial encounter for closed fracture",4
S0185XA,"Open bite of other part of head, initial encounter",4
S3289XA,"Fracture of other parts of pelvis, initial encounter for closed fracture",4
1639,"Malignant neoplasm of pleura, unspecified",4
G40309,"Generalized idiopathic epilepsy and epileptic syndromes, not intractable, without status epilepticus",4
S72492B,"Other fracture of lower end of left femur, initial encounter for open fracture type I or II",4
S72452A,"Displaced supracondylar fracture without intracondylar extension of lower end of left femur, initial encounter for closed fracture",4
5273,Abscess of salivary gland,4
4269,"Conduction disorder, unspecified",4
5265,Alveolitis of jaw,4
G43801,"Other migraine, not intractable, with status migrainosus",4
Y830,"Surgical operation with transplant of whole organ as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure",4
Y829,Unspecified medical devices associated with adverse incidents,4
S72351B,"Displaced comminuted fracture of shaft of right femur, initial encounter for open fracture type I or II",4
S72341A,"Displaced spiral fracture of shaft of right femur, initial encounter for closed fracture",4
S72332A,"Displaced oblique fracture of shaft of left femur, initial encounter for closed fracture",4
S92424A,"Nondisplaced fracture of distal phalanx of right great toe, initial encounter for closed fracture",4
A0811,Acute gastroenteropathy due to Norwalk agent,4
S72301A,"Unspecified fracture of shaft of right femur, initial encounter for closed fracture",4
G4482,Headache associated with sexual activity,4
7885,Oliguria and anuria,4
S3739XA,"Other injury of urethra, initial encounter",4
Y731,Therapeutic (nonsurgical) and rehabilitative gastroenterology and urology devices associated with adverse incidents,4
S72145A,"Nondisplaced intertrochanteric fracture of left femur, initial encounter for closed fracture",4
S92902A,"Unspecified fracture of left foot, initial encounter for closed fracture",4
A260,Cutaneous erysipeloid,4
E896,Postprocedural adrenocortical (-medullary) hypofunction,4
E896,Accident caused by controlled fire in other and unspecified building or structure,4
S3991XA,"Unspecified injury of abdomen, initial encounter",4
78934,"Abdominal or pelvic swelling, mass, or lump, left lower quadrant",4
78932,"Abdominal or pelvic swelling, mass, or lump, left upper quadrant",4
S0121XD,"Laceration without foreign body of nose, subsequent encounter",4
Y042XXD,"Assault by strike against or bumped into by another person, subsequent encounter",4
G47419,Narcolepsy without cataplexy,4
94502,Burn of unspecified degree of foot,4
M67471,"Ganglion, right ankle and foot",4
53500,"Acute gastritis, without mention of hemorrhage",4
53250,"Chronic or unspecified duodenal ulcer with perforation, without mention of obstruction",4
S71151A,"Open bite, right thigh, initial encounter",4
L249,"Irritant contact dermatitis, unspecified cause",4
S96811A,"Strain of other specified muscles and tendons at ankle and foot level, right foot, initial encounter",4
S93504A,"Unspecified sprain of right lesser toe(s), initial encounter",4
S93501A,"Unspecified sprain of right great toe, initial encounter",4
4220,Acute myocarditis in diseases classified elsewhere,4
S71142A,"Puncture wound with foreign body, left thigh, initial encounter",4
X80XXXA,"Intentional self-harm by jumping from a high place, initial encounter",4
X79XXXA,"Intentional self-harm by blunt object, initial encounter",4
X58XXXS,"Exposure to other specified factors, sequela",4
E8850,Fall from (nonmotorized) scooter,4
S0101XS,"Laceration without foreign body of scalp, sequela",4
S0091XA,"Abrasion of unspecified part of head, initial encounter",4
E897,Accident caused by controlled fire not in building or structure,4
1963,Secondary and unspecified malignant neoplasm of lymph nodes of axilla and upper limb,4
1958,Malignant neoplasm of other specified sites,4
S41151A,"Open bite of right upper arm, initial encounter",4
G588,Other specified mononeuropathies,4
E8851,Fall from roller skates,4
1971,Secondary malignant neoplasm of mediastinum,4
S42011A,"Anterior displaced fracture of sternal end of right clavicle, initial encounter for closed fracture",4
79389,Other (abnormal) findings on radiological examination of breast,4
G5712,"Meralgia paresthetica, left lower limb",4
M71521,"Other bursitis, not elsewhere classified, right elbow",4
M7138,"Other bursal cyst, other site",4
S71131A,"Puncture wound without foreign body, right thigh, initial encounter",4
S9782XA,"Crushing injury of left foot, initial encounter",4
7969,Other nonspecific abnormal findings,4
7949,Nonspecific abnormal results of other specified function study,4
7104,Polymyositis,4
G7111,Myotonic muscular dystrophy,4
S70372A,"Other superficial bite of left thigh, initial encounter",4
S70362A,"Insect bite (nonvenomous), left thigh, initial encounter",4
A549,"Gonococcal infection, unspecified",4
70702,"Pressure ulcer, upper back",4
7038,Other specified diseases of nail,4
X150XXA,"Contact with hot stove (kitchen), initial encounter",4
94416,Erythema [first degree] of back of hand,4
S68622A,"Partial traumatic transphalangeal amputation of right middle finger, initial encounter",4
T17298A,"Other foreign object in pharynx causing other injury, initial encounter",4
80021,"Closed fracture of vault of skull with subarachnoid, subdural, and extradural hemorrhage, with no loss of consciousness",4
7010,Circumscribed scleroderma,4
S42255A,"Nondisplaced fracture of greater tuberosity of left humerus, initial encounter for closed fracture",4
S42254A,"Nondisplaced fracture of greater tuberosity of right humerus, initial encounter for closed fracture",4
S42214A,"Unspecified nondisplaced fracture of surgical neck of right humerus, initial encounter for closed fracture",4
T171XXA,"Foreign body in nostril, initial encounter",4
A568,Sexually transmitted chlamydial infection of other sites,4
T184XXA,"Foreign body in colon, initial encounter",4
5373,Other obstruction of duodenum,4
55200,"Femoral hernia with obstruction, unilateral or unspecified (not specified as recurrent)",4
94301,Burn of unspecified degree of forearm,4
20283,"Other malignant lymphomas, intra-abdominal lymph nodes",4
20201,"Nodular lymphoma, lymph nodes of head, face, and neck",4
E8548,Accidental poisoning by other psychotropic agents,4
G950,Syringomyelia and syringobulbia,4
E867,Accidental poisoning by gas distributed by pipeline,4
H00013,"Hordeolum externum right eye, unspecified eyelid",4
80223,"Closed fracture of mandible, coronoid process",4
S42352A,"Displaced comminuted fracture of shaft of humerus, left arm, initial encounter for closed fracture",4
S42331A,"Displaced oblique fracture of shaft of humerus, right arm, initial encounter for closed fracture",4
S42322A,"Displaced transverse fracture of shaft of humerus, left arm, initial encounter for closed fracture",4
G9511,Acute infarction of spinal cord (embolic) (nonembolic),4
E857,Accidental poisoning by other anti-infectives,4
W501XXA,"Accidental kick by another person, initial encounter",4
L0232,Furuncle of buttock,4
T2112XA,"Burn of first degree of abdominal wall, initial encounter",4
T2019XA,"Burn of first degree of multiple sites of head, face, and neck, initial encounter",4
H0015,Chalazion left lower eyelid,4
20501,"Acute myeloid leukemia, in remission",4
W319XXA,"Contact with unspecified machinery, initial encounter",4
W458XXS,"Other foreign body or object entering through skin, sequela",4
W451XXA,"Paper entering through skin, initial encounter",4
W3409XA,"Accidental discharge from other specified firearms, initial encounter",4
W34010A,"Accidental discharge of airgun, initial encounter",4
80125,"Closed fracture of base of skull with subarachnoid, subdural, and extradural hemorrhage, with prolonged [more than 24 hours] loss of consciousness, without return to pre-existing conscious level",4
80235,"Open fracture of mandible, angle of jaw",4
80230,"Open fracture of mandible, unspecified site",4
S42412A,"Displaced simple supracondylar fracture without intercondylar fracture of left humerus, initial encounter for closed fracture",4
H00021,Hordeolum internum right upper eyelid,4
H01005,Unspecified blepharitis left lower eyelid,4
H01003,"Unspecified blepharitis right eye, unspecified eyelid",4
55011,"Inguinal hernia, with obstruction, without mention of gangrene, unilateral or unspecified,recurrent",4
53989,Other complications of other bariatric procedure,4
K9421,Gastrostomy hemorrhage,4
T22112A,"Burn of first degree of left forearm, initial encounter",4
T22111A,"Burn of first degree of right forearm, initial encounter",4
22802,Hemangioma of intracranial structures,4
W312XXD,"Contact with powered woodworking and forming machines, subsequent encounter",4
W3089XA,"Contact with other specified agricultural machinery, initial encounter",4
20972,Secondary neuroendocrine tumor of liver,4
R5382,"Chronic fatigue, unspecified",4
T22012A,"Burn of unspecified degree of left forearm, initial encounter",4
A749,"Chlamydial infection, unspecified",4
55300,"Femoral hernia without mention of obstruction of gangrene, unilateral or unspecified(not specified as recurrent)",4
S68123A,"Partial traumatic metacarpophalangeal amputation of left middle finger, initial encounter",4
K91872,Postprocedural seroma of a digestive system organ or structure following a digestive system procedure,4
80321,"Other closed skull fracture with subarachnoid, subdural, and extradural hemorrhage, with no loss of consciousness",4
R5084,Febrile nonhemolytic transfusion reaction,4
6954,Lupus erythematosus,4
6952,Erythema nodosum,4
S42462A,"Displaced fracture of medial condyle of left humerus, initial encounter for closed fracture",4
W2211XA,"Striking against or struck by driver side automobile airbag, initial encounter",4
B259,"Cytomegaloviral disease, unspecified",4
B182,Chronic viral hepatitis C,4
K9171,Accidental puncture and laceration of a digestive system organ or structure during a digestive system procedure,4
B09,Unspecified viral infection characterized by skin and mucous membrane lesions,4
H1133,"Conjunctival hemorrhage, bilateral",4
H10212,"Acute toxic conjunctivitis, left eye",4
56032,Fecal impaction,4
S66321A,"Laceration of extensor muscle, fascia and tendon of left index finger at wrist and hand level, initial encounter",4
T23161A,"Burn of first degree of back of right hand, initial encounter",4
T23152A,"Burn of first degree of left palm, initial encounter",4
K910,Vomiting following gastrointestinal surgery,4
K8520,Alcohol induced acute pancreatitis without necrosis or infection,4
K852,Alcohol induced acute pancreatitis,4
W102XXA,"Fall (on)(from) incline, initial encounter",4
H119,Unspecified disorder of conjunctiva,4
H1189,Other specified disorders of conjunctiva,4
W1840XA,"Slipping, tripping and stumbling without falling, unspecified, initial encounter",4
R4702,Dysphasia,4
80600,Closed fracture of C1-C4 level with unspecified spinal cord injury,4
M84551A,"Pathological fracture in neoplastic disease, right femur, initial encounter for fracture",4
K8042,Calculus of bile duct with acute cholecystitis without obstruction,4
B350,Tinea barbae and tinea capitis,4
38612,Vestibular neuronitis,4
38600,"Ménière's disease, unspecified",4
38401,Bullous myringitis,4
B488,Other specified mycoses,4
B379,"Candidiasis, unspecified",4
K811,Chronic cholecystitis,4
R3989,Other symptoms and signs involving the genitourinary system,4
S46011A,"Strain of muscle(s) and tendon(s) of the rotator cuff of right shoulder, initial encounter",4
S46002A,"Unspecified injury of muscle(s) and tendon(s) of the rotator cuff of left shoulder, initial encounter",4
80854,Multiple open pelvic fractures without disruption of pelvic circle,4
2440,Postsurgical hypothyroidism,4
N4821,Abscess of corpus cavernosum and penis,4
9136,"Superficial foreign body (splinter) of elbow, forearm, and wrist, without major open wound and without mention of infection",4
9061,Late effect of open wound of extremities without mention of tendon injury,4
Q780,Osteogenesis imperfecta,4
S53491A,"Other sprain of right elbow, initial encounter",4
85205,"Subarachnoid hemorrhage following injury without mention of open intracranial wound, with prolonged [more than 24 hours] loss of consciousness without return to pre-existing conscious level",4
S6402XA,"Injury of ulnar nerve at wrist and hand level of left arm, initial encounter",4
S66127A,"Laceration of flexor muscle, fascia and tendon of left little finger at wrist and hand level, initial encounter",4
H933X1,Disorders of right acoustic nerve,4
R1903,"Right lower quadrant abdominal swelling, mass and lump",4
S52024A,"Nondisplaced fracture of olecranon process without intraarticular extension of right ulna, initial encounter for closed fracture",4
V9333XA,"Fall on board other powered watercraft, initial encounter",4
C760,"Malignant neoplasm of head, face and neck",4
9348,Foreign body in other specified parts bronchus and lung,4
T454X5A,"Adverse effect of iron and its compounds, initial encounter",4
K261,Acute duodenal ulcer with perforation,4
K251,Acute gastric ulcer with perforation,4
E83119,"Hemochromatosis, unspecified",4
T443X5A,"Adverse effect of other parasympatholytics [anticholinergics and antimuscarinics] and spasmolytics, initial encounter",4
T443X1A,"Poisoning by other parasympatholytics [anticholinergics and antimuscarinics] and spasmolytics, accidental (unintentional), initial encounter",4
S63297A,"Dislocation of distal interphalangeal joint of left little finger, initial encounter",4
9115,"Insect bite, nonvenomous of trunk, infected",4
29600,"Bipolar I disorder, single manic episode, unspecified",4
81102,Closed fracture of coracoid process of scapula,4
V4392XA,"Unspecified car occupant injured in collision with other type car in traffic accident, initial encounter",4
S66121A,"Laceration of flexor muscle, fascia and tendon of left index finger at wrist and hand level, initial encounter",4
I130,"Hypertensive heart and chronic kidney disease with heart failure and stage 1 through stage 4 chronic kidney disease, or unspecified chronic kidney disease",4
M86672,"Other chronic osteomyelitis, left ankle and foot",4
Q8500,"Neurofibromatosis, unspecified",4
K588,Other irritable bowel syndrome,4
5798,Other specified intestinal malabsorption,4
M86671,"Other chronic osteomyelitis, right ankle and foot",4
S62621B,"Displaced fracture of middle phalanx of left index finger, initial encounter for open fracture",4
S62620A,"Displaced fracture of middle phalanx of right index finger, initial encounter for closed fracture",4
C7889,Secondary malignant neoplasm of other digestive organs,4
C785,Secondary malignant neoplasm of large intestine and rectum,4
K118,Other diseases of salivary glands,4
56982,Ulceration of intestine,4
2763,Alkalosis,4
27739,Other amyloidosis,4
85302,"Other and unspecified intracranial hemorrhage following injury without mention of open intracranial wound, with brief [less than one hour] loss of consciousness",4
8241,"Fracture of medial malleolus, open",4
56962,Mechanical complication of colostomy and enterostomy,4
Q8502,"Neurofibromatosis, type 2",4
R130,Aphagia,4
I2129,ST elevation (STEMI) myocardial infarction involving other sites,4
8251,"Fracture of calcaneus, open",4
36844,Other localized visual field defect,4
T481X5A,"Adverse effect of skeletal muscle relaxants [neuromuscular blocking agents], initial encounter",4
T471X5A,"Adverse effect of other antacids and anti-gastric-secretion drugs, initial encounter",4
S52134A,"Nondisplaced fracture of neck of right radius, initial encounter for closed fracture",4
T466X5A,"Adverse effect of antihyperlipidemic and antiarteriosclerotic drugs, initial encounter",4
T461X5A,"Adverse effect of calcium-channel blockers, initial encounter",4
56961,Infection of colostomy or enterostomy,4
6802,Carbuncle and furuncle of trunk,4
B965,Pseudomonas (aeruginosa) (mallei) (pseudomallei) as the cause of diseases classified elsewhere,4
V280XXA,"Motorcycle driver injured in noncollision transport accident in nontraffic accident, initial encounter",4
V270XXA,"Motorcycle driver injured in collision with fixed or stationary object in nontraffic accident, initial encounter",4
N1339,Other hydronephrosis,4
92820,Crushing injury of foot,4
E278,Other specified disorders of adrenal gland,4
E272,Addisonian crisis,4
I2609,Other pulmonary embolism with acute cor pulmonale,4
29660,"Bipolar I disorder, most recent episode (or current) mixed, unspecified",4
V421,Heart replaced by transplant,4
V421,Car passenger injured in collision with two- or three-wheeled motor vehicle in nontraffic accident,4
57460,"Calculus of gallbladder and bile duct with acute cholecystitis, without mention of obstruction",4
B9620,Unspecified Escherichia coli [E. coli] as the cause of diseases classified elsewhere,4
O99352,"Diseases of the nervous system complicating pregnancy, second trimester",4
S60141A,"Contusion of right ring finger with damage to nail, initial encounter",4
6391,Delayed or excessive hemorrhage following abortion or ectopic and molar pregnancies,4
6800,Carbuncle and furuncle of face,4
B958,Unspecified staphylococcus as the cause of diseases classified elsewhere,4
63512,"Legally induced abortion, complicated by delayed or excessive hemorrhage, complete",4
9063,Late effect of contusion,4
B9561,Methicillin susceptible Staphylococcus aureus infection as the cause of diseases classified elsewhere,4
S52301A,"Unspecified fracture of shaft of right radius, initial encounter for closed fracture",4
S62614B,"Displaced fracture of proximal phalanx of right ring finger, initial encounter for open fracture",4
S62613B,"Displaced fracture of proximal phalanx of left middle finger, initial encounter for open fracture",4
83109,"Closed dislocation of shoulder, other",4
T25232A,"Burn of second degree of left toe(s) (nail), initial encounter",4
67513,"Abscess of breast associated with childbirth, antepartum condition or complication",4
T495X5A,"Adverse effect of ophthalmological drugs and preparations, initial encounter",4
S65812A,"Laceration of other blood vessels at wrist and hand level of left arm, initial encounter",4
T484X5A,"Adverse effect of expectorants, initial encounter",4
V144XXA,"Pedal cycle driver injured in collision with heavy transport vehicle or bus in traffic accident, initial encounter",4
V1253,Personal history of sudden cardiac arrest,4
V244XXA,"Motorcycle driver injured in collision with heavy transport vehicle or bus in traffic accident, initial encounter",4
H3561,"Retinal hemorrhage, right eye",4
30015,"Dissociative disorder or reaction, unspecified",4
30014,Dissociative identity disorder,4
E8123,Other motor vehicle traffic accident involving collision with motor vehicle injuring passenger on motorcycle,4
W01118A,"Fall on same level from slipping, tripping and stumbling with subsequent striking against other sharp object, initial encounter",4
O9963,Diseases of the digestive system complicating the puerperium,4
O99513,"Diseases of the respiratory system complicating pregnancy, third trimester",4
O99511,"Diseases of the respiratory system complicating pregnancy, first trimester",4
O99321,"Drug use complicating pregnancy, first trimester",4
S60415A,"Abrasion of left ring finger, initial encounter",4
T382X5A,"Adverse effect of antithyroid drugs, initial encounter",4
S60413A,"Abrasion of left middle finger, initial encounter",4
63502,"Legally induced abortion, complicated by genital tract and pelvic infection, complete",4
H43393,"Other vitreous opacities, bilateral",4
C329,"Malignant neoplasm of larynx, unspecified",4
K551,Chronic vascular disorders of intestine,4
3016,Dependent personality disorder,4
C8170,"Other Hodgkin lymphoma, unspecified site",4
S62612A,"Displaced fracture of proximal phalanx of right middle finger, initial encounter for closed fracture",4
S62610A,"Displaced fracture of proximal phalanx of right index finger, initial encounter for closed fracture",4
5933,Stricture or kinking of ureter,4
H43392,"Other vitreous opacities, left eye",4
T398X5A,"Adverse effect of other nonopioid analgesics and antipyretics, not elsewhere classified, initial encounter",4
8931,"Open wound of toe(s), complicated",4
J9809,"Other diseases of bronchus, not elsewhere classified",4
C8370,"Burkitt lymphoma, unspecified site",4
T391X5A,"Adverse effect of 4-Aminophenol derivatives, initial encounter",4
E10610,Type 1 diabetes mellitus with diabetic neuropathic arthropathy,4
E0101,"Activity involving push-ups, pull-ups, sit-ups",4
2722,Mixed hyperlipidemia,4
N209,"Urinary calculus, unspecified",4
3051,Tobacco use disorder,4
86101,Contusion of heart without mention of open wound into thorax,4
2713,Intestinal disaccharidase deficiencies and disaccharide malabsorption,4
85401,"Intracranial injury of other and unspecified nature without mention of open intracranial wound, with no loss of consciousness",4
C8331,"Diffuse large B-cell lymphoma, lymph nodes of head, face, and neck",4
C8290,"Follicular lymphoma, unspecified, unspecified site",4
83961,"Closed dislocation, sternum",4
S52391A,"Other fracture of shaft of radius, right arm, initial encounter for closed fracture",4
T50Z15A,"Adverse effect of immunoglobulin, initial encounter",4
T50902A,"Poisoning by unspecified drugs, medicaments and biological substances, intentional self-harm, initial encounter",4
36841,Scotoma involving central area,4
8912,"Open wound of knee, leg [except thigh], and ankle, with tendon involvement",4
T25211A,"Burn of second degree of right ankle, initial encounter",4
O99012,"Anemia complicating pregnancy, second trimester",4
S63642A,"Sprain of metacarpophalangeal joint of left thumb, initial encounter",4
O98811,"Other maternal infectious and parasitic diseases complicating pregnancy, first trimester",4
O98511,"Other viral diseases complicating pregnancy, first trimester",4
S60450A,"Superficial foreign body of right index finger, initial encounter",4
V1085,Personal history of malignant neoplasm of brain,4
E069,"Thyroiditis, unspecified",4
E0581,Other thyrotoxicosis with thyrotoxic crisis or storm,4
S63145A,"Dislocation of distal interphalangeal joint of left thumb, initial encounter",4
37530,"Dacryocystitis, unspecified",4
S65111A,"Laceration of radial artery at wrist and hand level of right arm, initial encounter",4
S62525A,"Nondisplaced fracture of distal phalanx of left thumb, initial encounter for closed fracture",4
T404X2A,"Poisoning by other synthetic narcotics, intentional self-harm, initial encounter",4
C880,Waldenstrom macroglobulinemia,4
C84A0,"Cutaneous T-cell lymphoma, unspecified, unspecified site",4
T5891XA,"Toxic effect of carbon monoxide from unspecified source, accidental (unintentional), initial encounter",4
5951,Chronic interstitial cystitis,4
O903,Peripartum cardiomyopathy,4
O900,Disruption of cesarean delivery wound,4
O872,Hemorrhoids in the puerperium,4
I5189,Other ill-defined heart diseases,4
N318,Other neuromuscular dysfunction of bladder,4
V1083,Personal history of other malignant neoplasm of skin,4
V1079,Personal history of other lymphatic and hematopoietic neoplasms,4
V1047,Personal history of malignant neoplasm of testis,4
9177,"Superficial foreign body (splinter) of foot and toe(s), without major open wound, infected",4
S62512A,"Displaced fracture of proximal phalanx of left thumb, initial encounter for closed fracture",4
S62511B,"Displaced fracture of proximal phalanx of right thumb, initial encounter for open fracture",4
8799,"Open wound(s) (multiple) of unspecified site(s), complicated",4
8796,"Open wound of other and unspecified parts of trunk, without mention of complication",4
8795,"Open wound of abdominal wall, lateral, complicated",4
9175,"Insect bite, nonvenomous, of foot and toe(s), infected",4
9174,"Insect bite, nonvenomous, of foot and toe(s), without mention of infection",4
C9240,"Acute promyelocytic leukemia, not having achieved remission",4
C9201,"Acute myeloblastic leukemia, in remission",4
S63095A,"Other dislocation of left wrist and hand, initial encounter",4
36441,Hyphema of iris and ciliary body,4
T6591XA,"Toxic effect of unspecified substance, accidental (unintentional), initial encounter",4
S63631A,"Sprain of interphalangeal joint of left index finger, initial encounter",4
31234,Intermittent explosive disorder,4
E0089,Other specified sports and athletics activity,4
E0080,Activities involving boxing,4
V093XXA,"Pedestrian injured in unspecified traffic accident, initial encounter",4
V0929XA,"Pedestrian injured in traffic accident involving other motor vehicles, initial encounter",4
2535,Diabetes insipidus,4
S6422XA,"Injury of radial nerve at wrist and hand level of left arm, initial encounter",4
K435,Parastomal hernia without obstruction or gangrene,4
T33822A,"Superficial frostbite of left foot, initial encounter",4
O860,Infection of obstetric surgical wound,4
K4190,"Unilateral femoral hernia, without obstruction or gangrene, not specified as recurrent",4
C519,"Malignant neoplasm of vulva, unspecified",4
S60572A,"Other superficial bite of hand of left hand, initial encounter",4
S60571A,"Other superficial bite of hand of right hand, initial encounter",4
E0051,Activities involving yoga,4
2849,"Aplastic anemia, unspecified",4
T24231A,"Burn of second degree of right lower leg, initial encounter",4
H70001,"Acute mastoiditis without complications, right ear",4
V554,Person boarding or alighting a pick-up truck or van injured in collision with railway train or railway vehicle,4
V554,Attention to other artificial opening of digestive tract,4
88002,"Open wound of axillary region, without mention of complication",4
V552,Person on outside of pick-up truck or van injured in collision with railway train or railway vehicle in nontraffic accident,4
V552,Attention to ileostomy,4
I700,Atherosclerosis of aorta,4
I69354,Hemiplegia and hemiparesis following cerebral infarction affecting left non-dominant side,4
V0909XA,"Pedestrian injured in nontraffic accident involving other motor vehicles, initial encounter",4
I69351,Hemiplegia and hemiparesis following cerebral infarction affecting right dominant side,4
81331,Open fracture of shaft of radius (alone),4
S51811D,"Laceration without foreign body of right forearm, subsequent encounter",4
R4183,Borderline intellectual functioning,4
S52511A,"Displaced fracture of right radial styloid process, initial encounter for closed fracture",4
H4920,"Sixth [abducent] nerve palsy, unspecified eye",4
T2661XA,"Corrosion of cornea and conjunctival sac, right eye, initial encounter",4
K7011,Alcoholic hepatitis with ascites,4
S63622A,"Sprain of interphalangeal joint of left thumb, initial encounter",4
J384,Edema of larynx,4
36250,"Macular degeneration (senile), unspecified",4
S63617A,"Unspecified sprain of left little finger, initial encounter",4
